81,Indole-3-glyoxylicÿacid,X000530,5.00E-04,3.61E-04,C01717
82,Indole-3-lacticÿacid,SL00278,7.00E-04,6.08E-04,C02043
83,Indole-3-propionicÿacid,X000124,1.21E-02,1.40E-02,"C22236	"
84,Inosine,X000049,1.71E-02,3.04E-03,C00294
85,Isoleucine,SL00037,5.77E-03,3.27E-03,C00407
86,Kynurenicÿacid,SL00267,1.20E-03,8.19E-04,C01717
87,Kynurenine,SL00039,2.67E-04,2.08E-04,C00328
88,Lacticÿacid,SL00213,1.63E-03,6.51E-04,C00186
89,Leucine,SL00040,6.63E-03,2.91E-03,C00123
90,Leucyl-alanine,X000944,4.00E-04,2.00E-04,NA
91,Lysine,SL00043,1.17E-03,4.04E-04,C00047
92,Malicÿacid,SL00214,2.00E-04,0.00E+00,C00149
93,Methanesulfonicÿacid,SL00215,1.00E-04,0.00E+00,C11145
94,Methionine,X000222,2.97E-03,1.46E-03,C00073
95,Methionineÿsulfoxide,X000059,9.33E-04,2.08E-04,C02989
96,N-Acetyl-5-hydroxytryptamine,X000278,7.47E-03,3.00E-03,C00978
97,N-Acetyl-arginine,SL00049,3.00E-04,0.00E+00,NA
98,N-Acetyl-asparticÿacid,SL00127,1.00E-04,0.00E+00,C01042
99,N-Acetyl-glycine,SL00216,2.33E-04,5.77E-05,"C00441	"
100,N-Acetyl-mannosamine/ÿN-Acetyl-glucosamine,SL00282,2.00E-04,1.00E-04,C00645
101,N-acetyl-methionine,X001332,3.33E-04,1.53E-04,C02712
102,N-Acetyl-ornithine,X000546,1.40E-03,2.65E-04,C00437
103,N-Acetyl-phenylalanine,X000341,1.97E-03,7.57E-04,C03519
104,N-Acetyl-tyrosine,X000951,6.67E-04,2.08E-04,C01657
105,N-Acetylneuraminicÿacid,X001275,4.67E-04,2.31E-04,C19910
106,N-alpha-Acetyl-L-lysine,SL00132,2.10E-03,5.29E-04,C12989
107,N-Formylmethionine,X001069,1.67E-04,2.08E-04,C03145
108,"N,N-Dimethylglycine",SL00295,8.67E-04,2.08E-04,C01026
109,"N,N?-Hexamethyleneÿbis(acetamide)",X000757,4.33E-04,2.08E-04,NA
110,Nicotinicÿacid,SL00130,2.05E-02,1.79E-03,C00253
111,Ornithine,X000323,1.33E-04,5.77E-05,C00077
112,Pantothenicÿacid,X000003,5.20E-03,2.34E-03,C00864
113,Pentoses,SL00227,8.33E-04,3.21E-04,C00121
114,Phenylalanine,X000012,1.41E-02,2.37E-03,C00079
115,Pipecolinicÿacid,X000100,6.27E-03,1.10E-03,C00408
116,Proline,X000019,6.11E-02,7.77E-04,C00148
117,Propionylcarnitine,X000430,1.07E-03,6.11E-04,C03017
118,Putrescine,SL00294,4.67E-04,1.53E-04,C00134
119,Pyroglutamicÿacid,SL00138,1.33E-03,2.52E-04,C01879
120,Quinicÿacid,SL00226,1.33E-04,5.77E-05,C00296
121,Ribulose-5-phosphate,X000930,6.67E-04,1.53E-04,C00199
122,Sebacicÿacid,X000127,2.10E-02,4.92E-03,C08277
123,Serine,SL00066,3.33E-05,5.77E-05,C00065
124,Succinicÿacid,SL00144,2.63E-03,2.52E-04,C00042
125,Taurine,SL00068,0.00E+00,0.00E+00,C00245
126,Tetradecanedioicÿacid,X000668,1.87E-03,1.00E-03,C11002
127,Thiamine,X000047,1.53E-03,1.57E-03,C00378
128,Threonine,SL00072,1.00E-04,0.00E+00,C00188
129,Thymidine,SL00237,2.40E-03,1.76E-03,C00214
130,Thymine,SL00252,5.67E-04,3.79E-04,C00178
131,Trans-2-octenal,X000527,4.00E-03,1.61E-03,C21138
132,Traumaticÿacid,X000501,3.73E-03,1.60E-03,C16308
133,Trigonelline,SL00149,1.33E-03,2.52E-04,C01004
134,TrimethylamineÿN-Oxide,SL00249,4.00E-04,5.29E-04,C01104
135,Tryptamine,SL00322,1.43E-03,1.05E-03,C00398
136,Tryptophan,SL00073,8.00E-04,2.65E-04,C00078
137,Tyrosine,X000046,4.88E-02,1.43E-02,C00082
138,UMP,SL00078,1.67E-04,5.77E-05,C00105
139,Uracil,X000254,4.77E-03,1.85E-03,C00106
140,Uricÿacid,X001000,5.33E-04,1.15E-04,C00366
141,Uridine,SL00153,1.80E-03,6.24E-04,C00299
142,Vanillylÿalcohol,SL00261,2.00E-03,7.21E-04,C06317
143,Xanthine,X000030,1.44E-02,1.97E-03,C00385
144,Xanthosine,X001354,3.67E-04,2.89E-04,C01762
